transaction_id,customer_id,transaction_date,product_id,product_name,quantity,price,tax
1091,,2023-07-11,101,Product A,5,79.6,21.87
1092,502,2023-07-16,102,Product B,2,297.51,19.47
1093,503,2023-07-17,103,Product C,4,225.96,5.7
1094,504,2023-07-13,104,Product D,2,290.43,17.88
1095,505,2023-07-18,100,Product E,1,218.52,23.75
1096,506,2023-07-15,101,Product A,,243.74,19.03
1097,507,2023-07-15,102,Product B,5,230.25,29.48
1098,,2023-07-14,103,Product C,1,240.41,8.74
1099,509,2023-07-12,104,Product D,2,200.0,15.0
1100,500,2023-07-17,100,Product E,4,257.38,13.27
